
VASEmethod[EllipsometerType=4, CompleteEASE=6.42, AcqTime=9.987, ZoneAve=1, Acq. Parameters=DEFAULT.parms,M2K=1, EID=1080092, Measurement Start Time=12/18/2020-09:55:15]
nm
249.786	60.000	41.4128	108.3830	0.0237	0.0462
dPolE	249.786	60.000	0.8042	1.0000
uR	249.786	60.000	0.1688	1.0000
251.376	60.000	41.3584	108.6776	0.0241	0.0470
dPolE	251.376	60.000	0.7854	1.0000
uR	251.376	60.000	0.1723	1.0000
252.966	60.000	41.3613	108.9208	0.0235	0.0456
dPolE	252.966	60.000	0.7174	1.0000
uR	252.966	60.000	0.1757	1.0000
254.556	60.000	41.2908	109.4735	0.0242	0.0469
dPolE	254.556	60.000	0.1433	1.0000
uR	254.556	60.000	0.1796	1.0000
256.147	60.000	41.2877	109.8519	0.0242	0.0470
dPolE	256.147	60.000	0.4757	1.0000
uR	256.147	60.000	0.1825	1.0000
257.737	60.000	41.3678	110.3201	0.0248	0.0480
dPolE	257.737	60.000	0.3007	1.0000
uR	257.737	60.000	0.1859	1.0000
259.328	60.000	41.2889	110.8593	0.0253	0.0487
dPolE	259.328	60.000	0.4980	1.0000
uR	259.328	60.000	0.1892	1.0000
260.918	60.000	41.3280	111.3149	0.0249	0.0478
dPolE	260.918	60.000	0.4855	1.0000
uR	260.918	60.000	0.1921	1.0000
262.509	60.000	41.2755	111.9410	0.0253	0.0484
dPolE	262.509	60.000	0.5505	1.0000
uR	262.509	60.000	0.1956	1.0000
264.100	60.000	41.2849	112.5535	0.0249	0.0475
dPolE	264.100	60.000	0.1867	1.0000
uR	264.100	60.000	0.1989	1.0000
265.691	60.000	41.2506	113.0768	0.0258	0.0492
dPolE	265.691	60.000	0.1422	1.0000
uR	265.691	60.000	0.2023	1.0000
267.282	60.000	41.2803	113.8702	0.0253	0.0480
dPolE	267.282	60.000	0.5294	1.0000
uR	267.282	60.000	0.2054	1.0000
268.873	60.000	41.1623	114.3468	0.0259	0.0491
dPolE	268.873	60.000	0.4737	1.0000
uR	268.873	60.000	0.2078	1.0000
270.464	60.000	41.1800	115.0329	0.0263	0.0496
dPolE	270.464	60.000	0.6274	1.0000
uR	270.464	60.000	0.2105	1.0000
272.055	60.000	41.1469	115.7340	0.0270	0.0507
dPolE	272.055	60.000	0.2923	1.0000
uR	272.055	60.000	0.2125	1.0000
273.647	60.000	40.9712	116.5232	0.0267	0.0501
dPolE	273.647	60.000	0.6463	1.0000
uR	273.647	60.000	0.2142	1.0000
275.238	60.000	40.9006	117.2009	0.0272	0.0508
dPolE	275.238	60.000	0.3019	1.0000
uR	275.238	60.000	0.2156	1.0000
276.830	60.000	40.8163	118.0221	0.0269	0.0501
dPolE	276.830	60.000	0.1984	1.0000
uR	276.830	60.000	0.2165	1.0000
278.421	60.000	40.7549	118.6705	0.0274	0.0508
dPolE	278.421	60.000	0.7300	1.0000
uR	278.421	60.000	0.2166	1.0000
280.013	60.000	40.4727	119.3212	0.0274	0.0508
dPolE	280.013	60.000	0.5745	1.0000
